Date,AAPL,AMZN,COP,CVX,GOOG,HES,INTC,ORCL,OXY,XOM
2012-01-03,14.686785697937012,8.951499938964844,56.541019439697266,110.37000274658203,,58.400001525878906,24.540000915527344,25.860000610351562,92.57747650146484,86.0
2012-01-04,14.765713691711426,8.875499725341797,56.274208068847656,110.18000030517578,,59.0,25.110000610351562,26.010000228881836,92.85531616210938,86.0199966430664
2012-01-05,14.929642677307129,8.880499839782715,55.82444381713867,109.0999984741211,,57.599998474121094,25.399999618530273,26.59000015258789,92.11760711669922,85.76000213623047
2012-01-06,15.085714340209961,9.130499839782715,55.38991928100586,108.30999755859375,,56.41999816894531,25.25,26.93000030517578,91.7535400390625,85.12000274658203
2012-01-09,15.061785697937012,8.928000450134277,55.603370666503906,109.48999786376953,,56.900001525878906,25.469999313354492,27.030000686645508,92.8648910522461,85.5
2012-01-10,15.115714073181152,8.967000007629395,55.86255645751953,109.05999755859375,,58.560001373291016,25.59000015258789,26.969999313354492,93.77505493164062,85.72000122070312
2012-01-11,15.091071128845215,8.944999694824219,54.89441680908203,107.7699966430664,,57.939998626708984,25.799999237060547,26.889999389648438,92.52957153320312,85.08000183105469
2012-01-12,15.049642562866211,8.796500205993652,53.94152069091797,104.97000122070312,,57.0099983215332,25.75,27.170000076293945,93.71756744384766,84.73999786376953
2012-01-13,14.993213653564453,8.920999526977539,53.62134552001953,106.08999633789062,,56.54999923706055,25.139999389648438,27.34000015258789,93.52595520019531,84.87999725341797
2012-01-17,15.16785717010498,9.083000183105469,53.97201156616211,106.72000122070312,,57.38999938964844,25.040000915527344,27.65999984741211,95.135498046875,85.69000244140625
2012-01-18,15.325357437133789,9.472000122070312,54.50563430786133,106.83000183105469,,59.66999816894531,25.389999389648438,28.34000015258789,96.69713592529297,86.44999694824219
2012-01-19,15.276785850524902,9.72249984741211,54.330299377441406,106.93000030517578,,61.189998626708984,25.6299991607666,28.559999465942383,95.67201232910156,87.02999877929688
2012-01-20,15.010713577270508,9.546500205993652,54.276939392089844,106.88999938964844,,61.27000045776367,26.3799991607666,28.709999084472656,96.1606216430664,87.48999786376953
2012-01-23,15.264642715454102,9.304499626159668,53.78905487060547,107.01000213623047,,61.650001525878906,26.709999084472656,28.389999389648438,97.77974700927734,87.47000122070312
2012-01-24,15.014642715454102,9.350000381469727,53.827171325683594,106.72000122070312,,60.31999969482422,26.899999618530273,28.510000228881836,96.68756103515625,87.18000030517578
2012-01-25,15.952142715454102,9.390000343322754,53.3469123840332,107.7300033569336,,57.310001373291016,26.899999618530273,28.510000228881836,99.12103271484375,87.22000122070312
2012-01-26,15.879643440246582,9.666000366210938,53.003868103027344,106.58999633789062,,54.9900016784668,26.75,28.290000915527344,95.98817443847656,86.7699966430664
2012-01-27,15.974286079406738,9.768500328063965,52.90476989746094,103.95999908447266,,55.2599983215332,26.729999542236328,28.420000076293945,96.045654296875,85.83000183105469
2012-01-30,16.17892837524414,9.607500076293945,52.38639450073242,103.41000366210938,,55.150001525878906,26.739999771118164,28.600000381469727,95.44207763671875,85.48999786376953
2012-01-31,16.3028564453125,9.722000122070312,51.99761199951172,103.12000274658203,,56.29999923706055,26.420000076293945,28.209999084472656,95.58578491210938,83.73999786376953
2012-02-01,16.292499542236328,8.972999572753906,52.84378433227539,102.79000091552734,,56.72999954223633,26.549999237060547,28.8799991607666,95.135498046875,83.97000122070312
2012-02-02,16.25428581237793,9.086000442504883,53.29355239868164,103.69000244140625,,57.810001373291016,26.489999771118164,28.809999465942383,94.34989166259766,83.52999877929688
2012-02-03,16.417142868041992,9.383999824523926,53.712825775146484,105.5,,60.380001068115234,26.739999771118164,29.110000610351562,98.32584381103516,84.91999816894531
2012-02-06,16.570356369018555,9.156999588012695,54.36841583251953,106.66999816894531,,61.119998931884766,26.719999313354492,29.0,99.63838958740234,85.75
2012-02-07,16.743928909301758,9.209500312805176,54.8258056640625,106.83000183105469,,61.18000030517578,26.639999389648438,28.950000762939453,100.44316101074219,86.33999633789062
2012-02-08,17.0242862701416,9.27400016784668,55.077369689941406,106.76000213623047,,60.459999084472656,26.850000381469727,28.729999542236328,99.44677734375,85.31999969482422
2012-02-09,17.61321449279785,9.24899959564209,54.54375076293945,106.37000274658203,,63.25,26.860000610351562,28.889999389648438,99.8587417602539,84.87999725341797
2012-02-10,17.622142791748047,9.277000427246094,55.077369689941406,105.27999877929688,,61.81999969482422,26.700000762939453,28.5,98.39290618896484,83.80000305175781
2012-02-13,17.950000762939453,9.579500198364258,55.504268646240234,106.37999725341797,,62.2599983215332,26.700000762939453,28.43000030517578,99.69586944580078,84.41999816894531
2012-02-14,18.19499969482422,9.5649995803833,56.10649871826172,106.48999786376953,,61.900001525878906,26.780000686645508,28.239999771118164,99.63838958740234,84.66999816894531
2012-02-15,17.773929595947266,9.22350025177002,55.992149353027344,105.0,,64.12999725341797,26.579999923706055,27.979999542236328,99.40845489501953,84.12000274658203
2012-02-16,17.936071395874023,8.996500015258789,55.48139953613281,106.5199966430664,,64.87999725341797,26.829999923706055,28.950000762939453,99.95455169677734,85.41000366210938
2012-02-17,17.932857513427734,9.125,55.92354202270508,106.66000366210938,,65.1500015258789,27.3700008392334,28.790000915527344,99.5617446899414,85.62000274658203
2012-02-21,18.387500762939453,9.11299991607666,56.281829833984375,108.41000366210938,,65.5,27.15999984741211,28.739999771118164,100.03119659423828,86.56999969482422
2012-02-22,18.322856903076172,9.029000282287598,56.51052474975586,107.5,,65.2300033569336,26.729999542236328,28.549999237060547,98.9294204711914,86.91999816894531
